L_x,L_y,N_b,gate,block,matching,sharing,orbit_index,angle_rad
4,4,10,eSWAP,1,y_1,layer,,-3.0377575154148797
4,4,10,eSWAP,1,y_0,layer,,0.1563912774385554
4,4,10,eSWAP,1,x_1,layer,,0.1313581398315109
4,4,10,eSWAP,1,x_0,layer,,1.1798994018601299
4,4,10,eSWAP,2,y_1,layer,,0.23237758233525696
4,4,10,eSWAP,2,y_0,layer,,0.3235286697473141
4,4,10,eSWAP,2,x_1,layer,,0.3019933101272194
4,4,10,eSWAP,2,x_0,layer,,0.9283921140078384
4,4,10,eSWAP,3,y_1,layer,,0.29281936661027075
4,4,10,eSWAP,3,y_0,layer,,0.4259048364738445
4,4,10,eSWAP,3,x_1,layer,,0.401291942896139
4,4,10,eSWAP,3,x_0,layer,,0.8231883860568243
4,4,10,eSWAP,4,y_1,layer,,0.33817750552984016
4,4,10,eSWAP,4,y_0,layer,,0.4611801224210188
4,4,10,eSWAP,4,x_1,layer,,0.4607486444735014
4,4,10,eSWAP,4,x_0,layer,,0.7017968537168597
4,4,10,eSWAP,5,y_1,layer,,0.35306159342021903
4,4,10,eSWAP,5,y_0,layer,,0.4627564174123302
4,4,10,eSWAP,5,x_1,layer,,0.44163722766958013
4,4,10,eSWAP,5,x_0,layer,,0.5803781313146508
4,4,10,eSWAP,6,y_1,layer,,0.34442336730442147
4,4,10,eSWAP,6,y_0,layer,,0.39577947713002803
4,4,10,eSWAP,6,x_1,layer,,0.3773482506691064
4,4,10,eSWAP,6,x_0,layer,,0.4405005177710577
4,4,10,eSWAP,7,y_1,layer,,0.2647009619869132
4,4,10,eSWAP,7,y_0,layer,,0.321580840422655
4,4,10,eSWAP,7,x_1,layer,,0.27653992796734483
4,4,10,eSWAP,7,x_0,layer,,0.2618821542005634
4,4,10,eSWAP,8,y_1,layer,,0.26370367273780726
4,4,10,eSWAP,8,y_0,layer,,0.1863449788568028
4,4,10,eSWAP,8,x_1,layer,,0.16973502368306237
4,4,10,eSWAP,8,x_0,layer,,0.2787735300938725
4,4,10,eSWAP,9,y_1,layer,,0.066930664648166
4,4,10,eSWAP,9,y_0,layer,,0.20298622115137777
4,4,10,eSWAP,9,x_1,layer,,0.23152882338292402
4,4,10,eSWAP,9,x_0,layer,,0.1461142265794071
4,4,10,eSWAP,10,y_1,layer,,0.2984589140273526
4,4,10,eSWAP,10,y_0,layer,,0.21153751211530247
4,4,10,eSWAP,10,x_1,layer,,0.13096990444100243
4,4,10,eSWAP,10,x_0,layer,,0.1597685097117778
